,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SOG,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nikita Kucherov,TBL,31,F,78,37,84,121,45,22,21:11,17:21,3:49,0:00,29,8,0,9,1,46,38,0,12,1,75,46,0,21,2,38.0%,1.343,3.049,4.393,1.286,2.039,3.325,1.607,7.632,9.239,0.474,1.077,1.551,265,14.0%,23,33,1,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nathan MacKinnon,COL,29,F,79,32,84,116,41,25,22:46,18:53,3:49,0:03,23,9,0,5,1,55,29,0,16,2,78,38,0,21,3,32.8%,1.067,2.8,3.867,0.924,2.211,3.135,1.785,5.751,7.536,0.405,1.063,1.468,320,10.0%,37,58,756,758,49.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Leon Draisaitl,EDM,29,F,71,52,54,106,34,32,21:31,18:11,3:16,0:03,36,16,0,11,6,37,17,0,13,3,73,33,0,24,9,31.1%,2.042,2.121,4.163,1.673,1.72,3.393,4.123,4.38,8.503,0.732,0.761,1.493,240,21.7%,22,27,650,546,54.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,David Pastrnak,BOS,28,F,82,43,63,106,42,0,20:11,16:42,3:27,0:01,34,9,0,4,3,49,14,0,15,3,83,23,0,19,6,21.7%,1.559,2.284,3.842,1.489,2.146,3.634,1.908,2.968,4.876,0.524,0.768,1.293,319,13.5%,58,24,3,5,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mitch Marner,TOR,27,F,81,27,75,102,14,18,21:18,16:11,2:58,2:08,20,6,1,7,3,47,27,1,12,2,67,33,2,19,5,32.4%,0.938,2.606,3.545,0.915,2.15,3.065,1.492,6.712,8.203,0.333,0.926,1.259,173,15.6%,49,40,10,24,29.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Connor McDavid,EDM,27,F,67,26,74,100,37,20,22:01,18:44,3:13,0:04,17,9,0,3,0,52,22,0,18,9,69,31,0,21,9,31.0%,1.057,3.008,4.065,0.812,2.485,3.298,2.5,6.11,8.61,0.388,1.104,1.493,196,13.3%,40,18,370,406,47.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kyle Connor,WPG,28,F,82,41,56,97,25,17,20:23,16:45,2:50,0:47,30,9,2,8,2,37,19,0,18,5,67,28,2,26,7,28.9%,1.471,2.009,3.48,1.31,1.615,2.925,2.319,4.897,7.216,0.5,0.683,1.183,267,15.4%,21,46,1,7,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jack Eichel,VGK,28,F,77,28,66,94,8,32,20:32,16:12,2:46,1:33,22,5,1,3,0,36,29,1,11,0,58,34,2,14,0,36.2%,1.063,2.505,3.567,1.058,1.731,2.789,1.407,8.16,9.567,0.364,0.857,1.221,233,12.0%,22,55,572,682,45.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cale Makar,COL,26,D,80,30,62,92,14,28,25:42,19:55,3:38,2:08,16,12,2,4,1,38,23,1,11,0,54,35,3,15,1,38.0%,0.875,1.808,2.683,0.602,1.43,2.032,2.469,4.732,7.201,0.375,0.775,1.15,246,12.2%,51,128,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sidney Crosby,PIT,37,F,80,33,58,91,31,-20,20:22,17:09,3:09,0:04,21,12,0,10,4,43,15,0,5,0,64,27,0,15,4,29.7%,1.215,2.135,3.35,0.918,1.88,2.798,2.856,3.57,6.426,0.413,0.725,1.138,227,14.5%,67,39,1017,765,57.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Brandon Hagel,TBL,26,F,82,35,55,90,58,33,20:44,16:12,2:40,1:52,32,0,3,4,0,40,11,4,6,0,72,11,7,10,0,12.2%,1.235,1.94,3.175,1.445,1.806,3.252,0,3.012,3.012,0.427,0.671,1.098,228,15.4%,59,60,8,15,34.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Clayton Keller,UTA,26,F,81,30,60,90,28,-12,19:07,15:38,3:26,0:02,20,10,0,5,1,33,27,0,11,1,53,37,0,16,2,41.1%,1.162,2.325,3.487,0.947,1.563,2.51,2.152,5.809,7.961,0.37,0.741,1.111,218,13.8%,11,30,10,20,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Artemi Panarin,NYR,33,F,80,37,52,89,16,-9,19:40,16:32,3:08,0:00,29,8,0,3,0,34,18,0,10,2,63,26,0,13,2,29.2%,1.41,1.981,3.391,1.315,1.542,2.858,1.914,4.306,6.22,0.463,0.65,1.113,237,15.6%,18,11,0,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nicholas Suzuki,MTL,25,F,82,30,59,89,8,19,20:03,16:01,3:24,0:37,24,4,2,9,5,36,23,0,7,2,60,27,2,16,7,30.3%,1.094,2.152,3.246,1.096,1.644,2.741,0.859,4.937,5.795,0.366,0.72,1.085,172,17.4%,63,71,680,638,51.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikko Rantanen,TOT  ,28,F,82,32,56,88,60,13,21:14,17:22,3:51,0:01,21,11,0,6,0,41,15,0,9,1,62,26,0,15,1,29.5%,1.102,1.928,3.03,0.884,1.726,2.61,2.089,2.849,4.938,0.39,0.683,1.073,212,15.1%,48,44,135,120,52.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jesper Bratt,NJD,26,F,81,21,67,88,18,5,18:56,14:33,2:50,1:32,15,4,2,2,0,35,30,2,13,1,50,34,4,15,1,38.6%,0.821,2.619,3.44,0.763,1.781,2.545,1.041,7.805,8.846,0.259,0.827,1.086,180,11.7%,95,42,0,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mark Scheifele,WPG,31,F,82,39,48,87,61,12,20:26,17:28,2:49,0:08,28,11,0,11,3,34,14,0,12,4,62,25,0,23,7,28.7%,1.396,1.718,3.114,1.172,1.424,2.596,2.857,3.636,6.493,0.476,0.585,1.061,181,21.6%,73,60,627,641,49.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,William Nylander,TOR,28,F,82,45,39,84,26,10,19:30,16:16,3:12,0:01,33,12,0,8,2,21,18,0,8,1,54,30,0,16,3,35.7%,1.688,1.463,3.15,1.484,0.944,2.428,2.734,4.1,6.834,0.549,0.476,1.024,253,17.8%,14,27,76,77,49.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Martin Necas,TOT  ,25,F,79,27,56,83,16,5,18:59,15:21,3:35,0:03,15,12,0,8,0,31,25,0,10,4,46,37,0,18,4,44.6%,1.079,2.239,3.318,0.742,1.534,2.276,2.541,5.293,7.834,0.342,0.709,1.051,194,13.9%,62,23,51,84,37.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
